Sample name	Full label
Neuro_Krainc_P01_D8_L3356.CEL	CONTROL
Neuro_Krainc_P01_D9_L3357.CEL	CONTROL
Neuro_Krainc_P01_E11_L3372.CEL	CONTROL
Neuro_Krainc_P01_E1_L3362.CEL	CONTROL
Neuro_Krainc_P01_E2_L3363.CEL	CONTROL
Neuro_Krainc_P01_E6_L3367.CEL	CONTROL
Neuro_Krainc_P01_E7_L3368.CEL	CONTROL
Neuro_Krainc_P01_E8_L3369.CEL	CONTROL
Neuro_Krainc_P01_F8_L3382.CEL	CONTROL
Neuro_Krainc_P01_F9_L3384.CEL	CONTROL
Neuro_Krainc_P01_G10_L3462.CEL	CONTROL
Neuro_Krainc_P01_G11_L3463.CEL	CONTROL
Neuro_Krainc_P01_G1_L3453.CEL	CONTROL
Neuro_Krainc_P01_G7_L3459.CEL	CONTROL
Neuro_Krainc_P01_G8_L3460.CEL	CONTROL
Neuro_Krainc_P01_G9_L3461.CEL	CONTROL
Neuro_Krainc_P01_H10_L3500.CEL	CONTROL
Neuro_Krainc_P01_H11_L3501.CEL	CONTROL
Neuro_Krainc_P01_H1_L3472.CEL	CONTROL
Neuro_Krainc_P01_H3_L3478.CEL	CONTROL
Neuro_Krainc_P01_H4_L3479.CEL	CONTROL
Neuro_Krainc_P01_H8_L3493.CEL	CONTROL
Neuro_Krainc_P02_A01_L3503.CEL	CONTROL
Neuro_Krainc_P02_A02_L3504.CEL	CONTROL
Neuro_Krainc_P02_A08_L3510.CEL	CONTROL
Neuro_Krainc_P02_A10_L3513.CEL	CONTROL
Neuro_Krainc_P02_A11_L3514.CEL	CONTROL
Neuro_Krainc_P02_A12_L3515.CEL	CONTROL
Neuro_Krainc_P02_B01_L3516.CEL	CONTROL
Neuro_Krainc_P02_B02_L3517.CEL	CONTROL
Neuro_Krainc_P02_B03_L3518.CEL	CONTROL
Neuro_Krainc_P02_B04_L3519.CEL	CONTROL
Neuro_Krainc_P02_B05_L3520.CEL	CONTROL
Neuro_Krainc_P02_B06_L3521_2.CEL	CONTROL
Neuro_Krainc_P02_B07_L3522.CEL	CONTROL
Neuro_Krainc_P02_B10_L3601.CEL	CONTROL
Neuro_Krainc_P02_B11_L3602.CEL	CONTROL
Neuro_Krainc_P02_B12_L3603.CEL	CONTROL
Neuro_Krainc_P02_C01_L3604.CEL	CONTROL
Neuro_Krainc_P02_C02_L3605.CEL	CONTROL
Neuro_Krainc_P02_C03_L3651.CEL	CONTROL
Neuro_Krainc_P02_C04_L3652.CEL	CONTROL
Neuro_Krainc_P02_C10_L3717.CEL	CONTROL
Neuro_Krainc_P02_C11_L3718.CEL	CONTROL
Neuro_Krainc_P02_D09_B980.CEL	CONTROL
Neuro_Krainc_P02_H01_FRATRO45_1.CEL	CONTROL
Neuro_Krainc_P02_H04_FRATRO48.CEL	CONTROL
Neuro_Krainc_P02_H08_FRATRO52.CEL	CONTROL
Neuro_Krainc_P03_A03_FRATRO59.CEL	CONTROL
Neuro_Krainc_P03_A07_FRATRO63.CEL	CONTROL
Neuro_Krainc_P03_B02_FRATRO073.CEL	CONTROL
Neuro_Krainc_P03_B06_FRATRO079.CEL	CONTROL
Neuro_Krainc_P03_B09_FRATRO087_1.CEL	CONTROL
Neuro_Krainc_P03_C03_FRATRO093.CEL	CONTROL
Neuro_Krainc_P03_C06_FRATRO096.CEL	CONTROL
Neuro_Krainc_P03_C09_FRATRO099.CEL	CONTROL
Neuro_Krainc_P03_D06_FRATRO108.CEL	CONTROL
Neuro_Krainc_P03_D10_FRATRO112.CEL	CONTROL
Neuro_Krainc_P03_E02_FRATRO116.CEL	CONTROL
Neuro_Krainc_P03_E07_FRATRO121.CEL	CONTROL
Neuro_Krainc_P03_E08_FRATRO122.CEL	CONTROL
Neuro_Krainc_P03_E09_FRATRO123.CEL	CONTROL
Neuro_Krainc_P03_E10_FRATRO124.CEL	CONTROL
Neuro_Krainc_P03_E12_FRATRO126.CEL	CONTROL
Neuro_Krainc_P03_F01_FRATRO127.CEL	CONTROL
Neuro_Krainc_P03_F02_FRATRO129.CEL	CONTROL
Neuro_Krainc_P03_F03_FRATRO130.CEL	CONTROL
Neuro_Krainc_P03_F04_FRATRO131.CEL	CONTROL
Neuro_Krainc_P03_F05_FRATRO132.CEL	CONTROL
Neuro_Krainc_P03_F06_FRATRO133.CEL	CONTROL
Neuro_Krainc_P03_F10_FRATRO137.CEL	CONTROL
Neuro_Krainc_P03_F12_FRATRO139_1.CEL	CONTROL
Neuro_Krainc_P03_G02_FRATRO141.CEL	CONTROL
Neuro_Krainc_P03_G05_FRATRO145_RPT.CEL	CONTROL
Neuro_Krainc_P03_G07_FRATRO147.CEL	CONTROL
Neuro_Krainc_P03_G08_FRATRO148.CEL	CONTROL
Neuro_Krainc_P03_G09_FRATRO149_3.CEL	CONTROL
Neuro_Krainc_P03_G10_FRATRO150.CEL	CONTROL
Neuro_Krainc_P03_G11_FRATRO152.CEL	CONTROL
Neuro_Krainc_P03_G12_FRATRO153.CEL	CONTROL
Neuro_Krainc_P03_H01_FRATRO154.CEL	CONTROL
Neuro_Krainc_P03_H02_FRATRO155.CEL	CONTROL
Neuro_Krainc_P03_H04_FRATRO159.CEL	CONTROL
Neuro_Krainc_P03_H05_FRATRO160.CEL	CONTROL
Neuro_Krainc_P03_H06_FRATRO161.CEL	CONTROL
Neuro_Krainc_P03_H10_FRATRO166.CEL	CONTROL
Neuro_Krainc_P03_H11_FRATRO167.CEL	CONTROL
Neuro_Krainc_P03_H12_FRATRO168.CEL	CONTROL
Neuro_Krainc_P04_A01_FRATRO169.CEL	CONTROL
Neuro_Krainc_P04_A02_FRATRO170.CEL	CONTROL
Neuro_Krainc_P04_A03_FRATRO171.CEL	CONTROL
Neuro_Krainc_P04_A04_FRATRO172.CEL	CONTROL
Neuro_Krainc_P04_A05_FRATRO173.CEL	CONTROL
Neuro_Krainc_P04_A06_FRATRO174.CEL	CONTROL
Neuro_Krainc_P04_A07_FRATRO175.CEL	CONTROL
Neuro_Krainc_P04_A08_FRATRO176.CEL	CONTROL
Neuro_Krainc_P04_A10_FRATRO178_RPT.CEL	CONTROL
Neuro_Krainc_P04_B03_FRATRO183.CEL	CONTROL
Neuro_Krainc_P04_B04_FRATRO184.CEL	CONTROL
Neuro_Krainc_P04_B05_FRATRO185.CEL	CONTROL
Neuro_Krainc_P04_B06_FRATRO186.CEL	CONTROL
Neuro_Krainc_P04_B07_FRATRO187.CEL	CONTROL
Neuro_Krainc_P04_B08_FRATRO188.CEL	CONTROL
Neuro_Krainc_P04_B09_FRATRO189.CEL	CONTROL
Neuro_Krainc_P04_B11_FRATRO191.CEL	CONTROL
Neuro_Krainc_P04_B12_FRATRO192.CEL	CONTROL
Neuro_Krainc_P04_C03_FRATRO195.CEL	CONTROL
Neuro_Krainc_P04_C04_FRATRO196.CEL	CONTROL
Neuro_Krainc_P04_C05_FRATRO197.CEL	CONTROL
Neuro_Krainc_P04_C08_FRATRO200.CEL	CONTROL
Neuro_Krainc_P04_C10_FRATRO202.CEL	CONTROL
Neuro_Krainc_P04_C12_FRATRO204.CEL	CONTROL
Neuro_Krainc_P04_D01_FRATRO205.CEL	CONTROL
Neuro_Krainc_P04_D02_FRATRO206.CEL	CONTROL
Neuro_Krainc_P04_D03_FRATRO207.CEL	CONTROL
Neuro_Krainc_P04_D04_FRATRO208.CEL	CONTROL
Neuro_Krainc_P04_D05_FRATRO209.CEL	CONTROL
Neuro_Krainc_P04_D07_FRATRO211.CEL	CONTROL
Neuro_Krainc_P04_D08_FRATRO212.CEL	CONTROL
Neuro_Krainc_P04_D09_FRATRO213.CEL	CONTROL
Neuro_Krainc_P04_D10_FRATRO214.CEL	CONTROL
Neuro_Krainc_P04_D11_FRATRO215.CEL	CONTROL
Neuro_Krainc_P04_D12_FRATRO216.CEL	CONTROL
Neuro_Krainc_P04_E01_FRATRO217.CEL	CONTROL
Neuro_Krainc_P04_E08_FRATRO225.CEL	CONTROL
Neuro_Krainc_P04_F06_FRATRO235.CEL	CONTROL
Neuro_Krainc_P04_F07_FRATRO236.CEL	CONTROL
Neuro_Krainc_P04_F08_FRATRO237.CEL	CONTROL
Neuro_Krainc_P04_F09_FRATRO238.CEL	CONTROL
Neuro_Krainc_P04_F11_FRATRO240.CEL	CONTROL
Neuro_Krainc_P04_G03_FRATRO244.CEL	CONTROL
Neuro_Krainc_P04_G04_FRATRO245.CEL	CONTROL
Neuro_Krainc_P04_G05_FRATRO246.CEL	CONTROL
Neuro_Krainc_P04_G06_FRATRO247.CEL	CONTROL
Neuro_Krainc_P04_G10_FRATRO251.CEL	CONTROL
Neuro_Krainc_P04_G11_FRATRO252.CEL	CONTROL
Neuro_Krainc_P04_H01_FRATRO254.CEL	CONTROL
Neuro_Krainc_P04_H04_FRATRO257.CEL	CONTROL
Neuro_Krainc_P04_H05_FRATRO258.CEL	CONTROL
Neuro_Krainc_P04_H06_FRATRO259.CEL	CONTROL
Neuro_Krainc_P04_H08_FRATRO262_2.CEL	CONTROL
Neuro_Krainc_P04_H09_FRATRO264.CEL	CONTROL
Neuro_Krainc_P05_A02_FRATRO270.CEL	CONTROL
Neuro_Krainc_P05_A03_FRATRO271.CEL	CONTROL
Neuro_Krainc_P05_A04_FRATRO272.CEL	CONTROL
Neuro_Krainc_P05_A05_FRATRO273.CEL	CONTROL
Neuro_Krainc_P05_A07_FRATRO275.CEL	CONTROL
Neuro_Krainc_P05_A11_FRATRO280.CEL	CONTROL
Neuro_Krainc_P05_A12_FRATRO282.CEL	CONTROL
Neuro_Krainc_P05_B04_FRATRO286.CEL	CONTROL
Neuro_Krainc_P05_B05_FRATRO287.CEL	CONTROL
Neuro_Krainc_P05_B10_FRATRO293.CEL	CONTROL
Neuro_Krainc_P05_B11_FRATRO294.CEL	CONTROL
Neuro_Krainc_P05_C01_FRATRO296.CEL	CONTROL
Neuro_Krainc_P05_C06_FRATRO301.CEL	CONTROL
Neuro_Krainc-2_P01_C01_L3001.CEL	CONTROL
Neuro_Krainc-2_P01_C04_L3004.CEL	CONTROL
Neuro_Krainc-2_P01_C05_L3009.CEL	CONTROL
Neuro_Krainc-2_P01_C06_L3011.CEL	CONTROL
Neuro_Krainc-2_P01_C07_L3012.CEL	CONTROL
Neuro_Krainc-2_P01_C08_L3013.CEL	CONTROL
Neuro_Krainc-2_P01_C09_L3014.CEL	CONTROL
Neuro_Krainc-2_P01_C10_L3015.CEL	CONTROL
Neuro_Krainc-2_P01_C11_L3019.CEL	CONTROL
Neuro_Krainc-2_P01_D01_L3022.CEL	CONTROL
Neuro_Krainc-2_P01_D07_P13.CEL	CONTROL
Neuro_Krainc-2_P01_D10_P16.CEL	CONTROL
Neuro_Krainc-2_P01_D11_P17.CEL	CONTROL
Neuro_Krainc-2_P01_F03_P38.CEL	CONTROL
Neuro_Krainc-2_P01_F04_P39.CEL	CONTROL
Neuro_Krainc-2_P01_F05_P40.CEL	CONTROL
Neuro_Krainc-2_P01_F12_L3198_repeat.CEL	CONTROL
Neuro_Krainc-2_P01_H11_L3082.CEL	CONTROL
Neuro_Krainc-2_P02_A02_L3084.CEL	CONTROL
Neuro_Krainc-2_P02_A06_L3360_01.CEL	CONTROL
Neuro_Krainc-2_P02_A07_L3663_01.CEL	CONTROL
Neuro_Krainc-2_P02_A10_L3687_01.CEL	CONTROL
Neuro_Krainc-2_P02_A11_L3692_01.CEL	CONTROL
Neuro_Krainc-2_P02_B06_L1342_01.CEL	CONTROL
Neuro_Krainc-2_P02_B08_L3667_01.CEL	CONTROL
Neuro_Krainc-2_P02_B09_L3686_01.CEL	CONTROL
Neuro_Krainc-2_P02_B10_L4020_01.CEL	CONTROL
Neuro_Krainc-2_P02_C01_L3653_01.CEL	CONTROL
Neuro_Krainc-2_P02_C02_L3685_01.CEL	CONTROL
Neuro_Krainc-2_P02_C03_L4026_01.CEL	CONTROL
Neuro_Krainc-2_P02_C06_L4025_01.CEL	CONTROL
Neuro_Krainc-2_P02_C07_L3657_01.CEL	CONTROL
Neuro_Krainc-2_P02_C08_L3654_01.CEL	CONTROL
Neuro_Krainc-2_P02_C10_L3700_01.CEL	CONTROL
Neuro_Krainc-2_P02_D01_L3671_01.CEL	CONTROL
Neuro_Krainc-2_P02_D03_L3668_01.CEL	CONTROL
Neuro_Krainc-2_P02_D06_L3670_01.CEL	CONTROL
Neuro_Krainc-2_P02_D11_L3699_01.CEL	CONTROL
Neuro_Krainc-2_P02_E01_L3017_01.CEL	CONTROL
Neuro_Krainc-2_P02_E02_L3064_01.CEL	CONTROL
Neuro_Krainc-2_P02_E03_L3061_01.CEL	CONTROL
Neuro_Krainc-2_P02_E06_L3016_01.CEL	CONTROL
Neuro_Krainc-2_P02_E07_L3071_01.CEL	CONTROL
Neuro_Krainc-2_P02_E08_L3052_02.CEL	CONTROL
Neuro_Krainc-2_P02_E09_L3058_01.CEL	CONTROL
Neuro_Krainc-2_P02_E10_L2870_01.CEL	CONTROL
Neuro_Krainc-2_P02_E11_L3051_01.CEL	CONTROL
Neuro_Krainc-2_P02_F01_L3665_01.CEL	CONTROL
Neuro_Krainc-2_P02_F02_L3668_01.CEL	CONTROL
Neuro_Krainc-2_P02_F04_L4027_01.CEL	CONTROL
Neuro_Krainc-2_P02_F05_L4022_01.CEL	CONTROL
Neuro_Krainc-2_P02_F06_L3656_01.CEL	CONTROL
Neuro_Krainc-2_P02_F09_FRATRO223.CEL	CONTROL
Neuro_Krainc-2_P02_F10_FRATRO306.CEL	CONTROL
Neuro_Krainc-2_P02_F11_FRATRO307.CEL	CONTROL
Neuro_Krainc-2_P02_F12_FRATRO308_1.CEL	CONTROL
Neuro_Krainc-2_P02_G04_FRATRO313.CEL	CONTROL
Neuro_Krainc-2_P02_G07_FRATRO316.CEL	CONTROL
Neuro_Krainc-2_P02_G08_FRATRO317.CEL	CONTROL
Neuro_Krainc-2_P02_G09_FRATRO318.CEL	CONTROL
Neuro_Krainc-2_P03_A01_FRA_TRO_335.CEL	CONTROL
Neuro_Krainc-2_P03_A02_FRA_TRO_336_01.CEL	CONTROL
Neuro_Krainc-2_P03_A06_FRA_TRO_340_01.CEL	CONTROL
Neuro_Krainc-2_P03_A07_FRA_TRO_341_01.CEL	CONTROL
Neuro_Krainc-2_P03_A08_FRA_TRO_342_01.CEL	CONTROL
Neuro_Krainc-2_P03_A09_FRA_TRO_343_01.CEL	CONTROL
Neuro_Krainc-2_P03_A10_FRA_TRO_344_01.CEL	CONTROL
5141769010_H	CONTROL
5141769010_I	CONTROL
5141769010_J	CONTROL
5141769010_K	CONTROL
5141769059_F	CONTROL
5141769059_G	CONTROL
5141769059_H	CONTROL
5141769059_I	CONTROL
5141769059_K	CONTROL
FRATRO104_(HG-U133A_2).CEL	CONTROL
FRATRO119_(HG-U133A_2).CEL	CONTROL
FRATRO128_(HG-U133A_2).CEL	CONTROL
FRATRO142b_(HG-U133A_2).CEL	CONTROL
FRATRO142_(HG-U133A_2).CEL	CONTROL
FRATRO151_(HG-U133A_2).CEL	CONTROL
FRATRO263_(HG-U133A_2).CEL	CONTROL
FRATRO284_(HG-U133A_2).CEL	CONTROL
FRATRO 299_(HG-U133A_2).CEL	CONTROL
FRATRO323_(HG-U133A_2).CEL	CONTROL
FRATRO326_(HG-U133A_2).CEL	CONTROL
FRATRO330_(HG-U133A_2).CEL	CONTROL
FRATRO331_(HG-U133A_2).CEL	CONTROL
FRATRO332_(HG-U133A_2).CEL	CONTROL
FRATRO78_(HG-U133A_2).CEL	CONTROL
L2871_(HG-U133A_2).CEL	CONTROL
L3000_(HG-U133A_2).CEL	CONTROL
L3055_(HG-U133A_2).CEL	CONTROL
L3063_(HG-U133A_2).CEL	CONTROL
L3316_(HG-U133A_2).CEL	CONTROL
L3317_(HG-U133A_2).CEL	CONTROL
L3319_(HG-U133A_2).CEL	CONTROL
L3322_(HG-U133A_2).CEL	CONTROL
L3324_(HG-U133A_2).CEL	CONTROL
L3326_(HG-U133A_2).CEL	CONTROL
L3399_(HG-U133A_2).CEL	CONTROL
L3401_(HG-U133A_2).CEL	CONTROL
L3480_(HG-U133A_2).CEL	CONTROL
L3032_(HG-U133A_2).CEL	CONTROL
E7R_037a01_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a02_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a03_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a04_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a05_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a06_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a07_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a08_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a09_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a11_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a16_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_037a17_(HG-U133_Plus_2).CEL	CONTROL_HD_BATCH
E7R_039a102_(HG-U133_Plus_2).CEL	DRD
Neuro_Krainc_P01_D11_L3359-2_RPT.CEL	DRD
Neuro_Krainc-2_P01_A03_L1767.CEL	DRD
Neuro_Krainc-2_P02_C05_L4106_01.CEL	DRD-DYT5
Neuro_Krainc-2_P02_D05_L4105_01.CEL	DRD-DYT5
Neuro_Krainc-2_P02_F03_L4104_01.CEL	DRD-DYT5
E7R_039a16_(HG-U133_Plus_2).CEL	GPD
E7R_039a30_(HG-U133_Plus_2).CEL	GPD
E7R_039a32_(HG-U133_Plus_2).CEL	GPD
E7R_039a36_(HG-U133_Plus_2).CEL	GPD
E7R_039a37_(HG-U133_Plus_2).CEL	GPD
E7R_039a39_(HG-U133_Plus_2).CEL	GPD
E7R_039a41_(HG-U133_Plus_2).CEL	GPD
E7R_039a42_(HG-U133_Plus_2).CEL	GPD
E7R_039a47_(HG-U133_Plus_2).CEL	GPD
E7R_039a54_(HG-U133_Plus_2).CEL	GPD
E7R_039a56_(HG-U133_Plus_2).CEL	GPD
E7R_039a59_(HG-U133_Plus_2).CEL	GPD
E7R_039a71_(HG-U133_Plus_2)_2.CEL	GPD
E7R_039a71_(HG-U133_Plus_2).CEL	GPD
E7R_039a72_(HG-U133_Plus_2)_2.CEL	GPD
E7R_039a72_(HG-U133_Plus_2).CEL	GPD
E8R_012a07_(HG-U133_Plus_2).CEL	GPD
E8R_012a08_(HG-U133_Plus_2).CEL	GPD
E8R_012a38_2_(HG-U133_Plus_2).CEL	GPD
E8R_012a39_(HG-U133_Plus_2).CEL	GPD
Neuro_Krainc_P01_A1_L2121.CEL	GPD
Neuro_Krainc_P01_A2_L2122.CEL	GPD
Neuro_Krainc_P01_A6_L2126.CEL	GPD
Neuro_Krainc_P01_A7_L2127.CEL	GPD
Neuro_Krainc_P01_B5_L3287.CEL	GPD
Neuro_Krainc_P01_B7_L3290_2.CEL	GPD
Neuro_Krainc_P01_B8_L3291.CEL	GPD
Neuro_Krainc_P01_B9_L3292.CEL	GPD
Neuro_Krainc_P01_D4_L3348.CEL	GPD
Neuro_Krainc_P02_D08_B45.CEL	GPD
Neuro_Krainc_P02_E03_FRATRO7.CEL	GPD
Neuro_Krainc_P02_F01_FRATRO18.CEL	GPD
Neuro_Krainc_P03_C02_FRATRO092_1.CEL	GPD
Neuro_Krainc_P03_C12_FRATRO102.CEL	GPD
Neuro_Krainc_P03_F09_FRATRO136.CEL	GPD
Neuro_Krainc_P03_G03_FRATRO143.CEL	GPD
Neuro_Krainc_P04_C01_FRATRO193.CEL	GPD
Neuro_Krainc_P04_C02_FRATRO194.CEL	GPD
Neuro_Krainc_P04_C09_FRATRO201.CEL	GPD
Neuro_Krainc_P05_B01_FRATRO283.CEL	GPD
Neuro_Krainc_P05_B09_FRATRO292.CEL	GPD
Neuro_Krainc_P05_B12_FRATRO295.CEL	GPD
Neuro_Krainc-2_P01_D06_P12.CEL	GPD
Neuro_Krainc-2_P01_D08_P14_repeat.CEL	GPD
Neuro_Krainc-2_P01_D12_P18.CEL	GPD
Neuro_Krainc-2_P01_E01_P19.CEL	GPD
Neuro_Krainc-2_P01_E03_P21.CEL	GPD
Neuro_Krainc-2_P01_E05_P23.CEL	GPD
Neuro_Krainc-2_P01_E06_P24.CEL	GPD
Neuro_Krainc-2_P01_E08_P28.CEL	GPD
Neuro_Krainc-2_P01_G01_L3200.CEL	GPD
Neuro_Krainc-2_P02_A03_L2128.CEL	GPD
Neuro_Krainc-2_P03_A05_FRA_TRO_339_01.CEL	GPD
Neuro_Krainc-2_P03_B01_FRA_TRO_347_01.CEL	GPD
Neuro_Krainc-2_P03_B03_FRA_TRO_349_01.CEL	GPD
Neuro_Krainc-2_P03_B05_FRA_TRO_351_01.CEL	GPD
Neuro_Krainc-2_P03_B12_FRA_TRO_359_01.CEL	GPD
Neuro_Krainc-2_P03_C02_FRA_TRO_361_01.CEL	GPD
Neuro_Krainc-2_P03_C04_FRA_TRO_363_01.CEL	GPD
5141769010_A	GPD
5141769010_F	GPD
5141769027_J	GPD
FRATRO334_(HG-U133A_2).CEL	GPD
L2129_(HG-U133A_2).CEL	GPD
L3286_(HG-U133A_2).CEL	GPD
L3309_(HG-U133A_2).CEL	GPD
L3391_(HG-U133A_2).CEL	GPD
E7R_039a38_(HG-U133_Plus_2).CEL	GPD
E7R_039a50_(HG-U133_Plus_2).CEL	GPD
E7R_039a98_(HG-U133_Plus_2).CEL	GPD
Neuro_Krainc_P01_A03_L2123_RPT.CEL	GPD
Neuro_Krainc-2_P01_E09_P29.CEL	GPD
L3042_(HG-U133A_2).CEL	GPD
E7R_039a28_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a33_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a40_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a43_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a44_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a45_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a51_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a58_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a79_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E7R_039a86_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E8R_012a23_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E8R_012a24_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E8R_012a25_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E8R_012a40_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
E8R_012a41_(HG-U133_Plus_2).CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P01_A10_L2150.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P01_A11_L2152_RPT.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P01_A12_L2153.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P01_E4_L3365.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_A06_L3508.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_A07_L3509.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_B09_L3600.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_D01_B25_RPT.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_D02_B27.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_D03_B28.CEL	GENETIC_UNAFFECTED
Neuro_Krainc_P02_D04_B29.CEL	GENETIC_UNAFFECTED
